Date,Open,High,Low,Close,Adj Close,Volume,Prev Close,change
2019-08-16,119.9,122.45,117.35,121.35,121.35,35264621,120.9,0.3722
2019-08-19,121.2,122.6,120.0,120.8,120.8,23194786,121.35,-0.4532
2019-08-20,120.0,124.8,119.0,123.85,123.85,34809225,120.8,2.5248
2019-08-21,123.0,123.0,109.5,112.4,112.4,83509593,123.85,-9.2451
2019-08-22,112.0,114.0,106.2,107.7,107.7,58612708,112.4,-4.1815
2019-08-23,108.9,111.6,107.65,111.05,111.05,41178606,107.7,3.1105
2019-08-26,114.55,115.4,106.8,110.55,110.55,47757623,111.05,-0.4502
2019-08-27,112.7,121.4,111.8,120.35,120.35,70636441,110.55,8.8648
2019-08-28,120.55,124.0,114.8,116.35,116.35,74245952,120.35,-3.3236
2019-08-29,116.5,118.5,112.1,114.3,114.3,48098849,116.35,-1.7619
2019-08-30,115.6,117.3,112.0,116.7,116.7,42250518,114.3,2.0997
2019-09-03,113.05,115.35,111.2,112.65,112.65,36905736,116.7,-3.4704
2019-09-04,112.0,113.0,106.0,109.5,109.5,76317447,112.65,-2.7963
2019-09-05,109.75,119.35,109.5,118.05,118.05,75789807,109.5,7.8082
2019-09-06,118.35,122.3,116.55,121.25,121.25,67761586,118.05,2.7107
2019-09-09,119.0,122.6,117.35,121.9,121.9,51297512,121.25,0.5361
2019-09-11,127.0,135.0,125.3,134.35,134.35,96568372,121.9,10.2133
2019-09-12,134.6,135.35,126.7,127.95,127.95,72084195,134.35,-4.7637
2019-09-13,129.2,130.95,125.5,129.55,129.55,69088728,127.95,1.2505
2019-09-16,128.0,130.3,126.5,128.6,128.6,40951047,129.55,-0.7333
2019-09-17,129.0,130.5,121.35,122.0,122.0,47652658,128.6,-5.1322
2019-09-18,123.05,125.9,120.5,121.75,121.75,53048836,122.0,-0.2049
2019-09-19,123.5,125.35,121.2,124.2,124.2,51011848,121.75,2.0123
2019-09-20,125.0,137.75,122.6,133.25,133.25,89223235,124.2,7.2866
2019-09-23,135.0,138.4,126.5,127.9,127.9,51032391,133.25,-4.015
2019-09-24,128.05,132.2,128.0,130.9,130.9,41659100,127.9,2.3456
2019-09-25,129.9,129.9,121.5,123.05,123.05,47567575,130.9,-5.9969
2019-09-26,123.9,127.25,122.8,124.5,124.5,45866398,123.05,1.1784
2019-09-27,122.0,122.45,118.2,119.9,119.9,45875793,124.5,-3.6948
2019-09-30,120.65,120.85,116.4,117.45,117.45,32158885,119.9,-2.0434
2019-10-01,118.0,119.85,113.0,115.3,115.3,40232789,117.45,-1.8306
2019-10-03,112.65,123.5,112.65,122.4,122.4,65103359,115.3,6.1578
2019-10-04,122.8,123.8,118.8,119.65,119.65,35712218,122.4,-2.2467
2019-10-07,120.25,120.55,116.35,117.5,117.5,35471184,119.65,-1.7969
2019-10-09,118.5,121.7,115.45,120.9,120.9,44666296,117.5,2.8936
2019-10-10,119.3,119.7,116.2,116.8,116.8,31229192,120.9,-3.3912
2019-10-11,118.05,122.2,117.25,121.3,121.3,41027561,116.8,3.8527
2019-10-14,122.6,130.0,122.5,127.85,127.85,68048611,121.3,5.3998
2019-10-15,127.1,128.9,123.7,126.95,126.95,57548920,127.85,-0.704
2019-10-16,127.3,128.3,124.5,125.85,125.85,31522518,126.95,-0.8665
2019-10-17,127.1,144.35,125.1,139.5,139.5,67933615,125.85,10.8462
2019-10-18,139.0,141.8,135.6,136.85,136.85,64884113,139.5,-1.8996
2019-10-22,133.35,135.6,129.8,131.75,131.75,53532482,136.85,-3.7267
2019-10-23,130.45,133.8,127.25,132.65,132.65,50293574,131.75,0.6831
2019-10-24,133.0,135.15,130.5,133.5,133.5,41951668,132.65,0.6408
2019-10-25,132.0,133.0,125.7,126.85,126.85,42868958,133.5,-4.9813
2019-10-27,139.5,150.7,139.5,147.7,147.7,39489993,126.85,16.4367
2019-10-29,151.9,175.5,151.2,172.45,172.45,184435614,147.7,16.7569
2019-10-30,175.0,175.65,166.55,171.9,171.9,90759545,172.45,-0.3189
2019-10-31,169.8,179.65,168.95,177.7,177.7,81392641,171.9,3.3741
2019-11-01,175.2,178.0,172.4,175.05,175.05,40613555,177.7,-1.4913
2019-11-04,171.6,178.45,170.85,172.2,172.2,40641411,175.05,-1.6281
2019-11-05,173.25,175.75,169.95,172.0,172.0,36268596,172.2,-0.1161
2019-11-06,172.0,176.35,170.5,174.5,174.5,28923778,172.0,1.4535
2019-11-07,174.7,174.7,167.6,171.5,171.5,38625387,174.5,-1.7192
2019-11-08,170.75,178.9,167.8,169.05,169.05,39102947,171.5,-1.4286
2019-11-11,169.2,172.95,169.05,172.0,172.0,22192924,169.05,1.745
2019-11-13,171.5,176.0,169.4,170.6,170.6,33926248,172.0,-0.8139
2019-11-14,170.2,170.3,165.5,167.05,167.05,25433481,170.6,-2.0809
2019-11-15,169.0,173.4,167.35,168.55,168.55,29614682,167.05,0.8979
2019-11-18,172.1,172.1,169.25,170.1,170.1,19053232,168.55,0.9196
2019-11-19,170.8,171.75,167.1,167.75,167.75,19599195,170.1,-1.3815
2019-11-20,167.75,170.2,166.2,167.4,167.4,19504078,167.75,-0.2086
2019-11-21,166.95,170.1,163.0,164.15,164.15,21609120,167.4,-1.9415
